userName,score,at,content
Hadisaputra chanel,5,2023-03-30 12:10:10,sangat membantu dan memudahkan segala tujuan... mantaap.. 😊😊😊
Fernanda Cahya,1,2023-03-30 12:08:15,Untuk user gopaylater yang tinggal di jateng sih kebanyakan gajian tanggal 5 ya. Kalo mau ikut pihak gojek ya gimana ya yang gajian tanggal segitu. Kena denda mulu. Atau apk ini hanya untuk yang gajian tanggal 1 kurang?
Amoy Diva Naura,5,2023-03-30 12:02:56,Bagus
JV bee,2,2023-03-30 12:02:38,Kenapa ya kok gak bisa upgrade ke gopay plus ya? Padahal lagi butuh banget
Raden MasTaka AluGaming Official,1,2023-03-30 11:57:30,Payah
RUSIDI (Rosi),1,2023-03-30 11:44:29,"Harusnya di daerah Pamekasan gak usah di pakai gojek,sebab gak ada karyawanya,lagian saya memilih gojek atau gocar gak direspon selama dua hari."
ayu destalia,1,2023-03-30 11:32:25,Banyak driver ngeluh soal tarif yang gak manusiawi
Lia salon,1,2023-03-30 11:22:04,Driver di putus mitra nggak jelas alasannya Doain Bangkrut secepatnya Amin YRA
Gudeg Ceker Racer,1,2023-03-30 11:13:46,"ini gimana sih, mau transaksi pake gopay gabisa disuruh update mulu padahal dah update mentok"
isye yolanda,5,2023-03-30 11:12:26,drivernya oke oke baik dan sabar juga
Endra Wati,5,2023-03-30 10:55:54,Gojek sangat membantu saya saat berpergian
suwito adi prasetya gojek sby,5,2023-03-30 10:52:16,pas d gunakan untuk pembayaran gk bsa d gunakan. padahal udh gk bawa uang lagi dana ada d gopay. menjengkelkan buang waktu malu maluin aja. payah
Ivan Aditya,1,2023-03-30 10:51:47,"Update terbaru bulan Maret 2023 terjadi error tidak bisa gunakan fitur minta gopay ke keluarga atau teman, terjadi kesalahan pada fitur tersebut, tolong segera di perbaiki."
Rosida Sitinjak,5,2023-03-30 10:51:10,terimaksih byk pak atas bantuan nya
rigen adv,5,2023-03-30 10:50:58,Memudahkqn urusan
Hanif rabbani,1,2023-03-30 10:49:29,apaa ..? order food di gabung dengan customer lain..sia sia kami belanja
Hendra Wijaya,5,2023-03-30 10:44:16,akhirnya setelah 3x24 jam udah bisa tf k bank lain. terima kasih responnya
Zero Z,5,2023-03-30 10:40:16,Nice
Fery Eri,1,2023-03-30 10:36:00,Pelit
GAYATRI,5,2023-03-30 10:35:44,BAGUS
Eengsuhendar Suhendar,5,2023-03-30 10:35:26,Mantap
ANDI SUBANDI,5,2023-03-30 10:35:18,Coba dulu ya moga berhasil upgred gopay plus klo ga bisa juga turun ranting.
angga putra,5,2023-03-30 10:33:25,Pelayanan bagus
Riyan Priyantoro,1,2023-03-30 10:31:30,"Tiba"" akun hrs upgrade ke gopplus padahal sy pengguna dr tahun 2016 n smua transaksi berantakan"
Cindy Laurensia,3,2023-03-30 10:30:44,Lupa no hp lama..... mau daftar tp tdk bs menggunakan email yg sama...
Nathalia Sby,5,2023-03-30 10:30:05,Promonya selalu mantull
Vino Bastian,1,2023-03-30 10:29:27,Hilang kan orderan gabungan yg membuat kami memesan makanan merasa tidak nyaman
Pasha As,2,2023-03-30 10:29:17,"Layanan gosend makin ga jelas sampe beberapa kali ganti driver, di cancel Mulu heran.. tolong dong dipantau lagi para driver nya"
Johny Ramdani,1,2023-03-30 10:16:30,Knp status nya di turunin manfaat nya apa sih buat gojek. Gopay plus gw jadi ga bisa di pake.. ktp saya lagi rusak.. bikin susah orang aja.. udah mah tf antar bank bayar. Pesen ada biaya layanan yg jelas.. mitra mitra pd sulit..pula lagi... Gojek jadi udh ga work it lagi buat di instal di hp ku
setiabudi aluminium,5,2023-03-30 10:15:37,Top markotop
Ikke Nurjanah,1,2023-03-30 10:12:06,"Sebel banget, kenapa gk ada vitur buat batalin driver nunggu lama driver nya gk dateng², kan jadi buang² waktu saya telat berangkat kerja"
07. Della febrianti,1,2023-03-30 10:11:58,gajelassss sinyal bagusss tpi buat mesan lemottt nya ga ketulung
Retno Ardianti,1,2023-03-30 10:11:54,Ngk bagus ngk bisa pinjam bohong j
Ridho Wahyu,5,2023-03-30 10:11:15,Pokok nya mantap...jagan tanya alasan nya aps....
sukses,5,2023-03-30 10:05:01,Ride together everyday
Dava adzi Viqri,5,2023-03-30 10:00:31,Okeee
Siswadi Siswadi,5,2023-03-30 09:42:34,Asyik
Anang Anwar,5,2023-03-30 09:41:35,Aplikasi ok
xr vizard,1,2023-03-30 09:38:40,BELI TAPCASH BNI KAGA MASUK PAKE GOPAY.
Nurzaini dzen,1,2023-03-30 09:37:44,"Ongkos semakin mencekik, tidak ada voucher lg.. terlalu mahal"
kiki krisman,2,2023-03-30 09:25:59,Kok jadi ribet? harus ngisi nama sama nomor telepon lagi buat tempat pengambilan sama tujuan. padahal biasanya otomatis kalo orderan nya udah pernah
syafi 7791,5,2023-03-30 09:25:37,Semakin hari bukannya makin canggih.tapi makin buruk pelayanannya .terutama pembayaran yg lewat gopay.disuruh upgrade.tapi setelah upgrade tdk bisa.dgn alasan saya anda sudah terdaftar digopay yg lain.bikin susah orang saja sekarang gojek.jika terusenerus kayak gini.tunggu saja gojek akan menyusul OVO.tidur yg berkelanjutan.
asep,1,2023-03-30 09:21:48,buruk
Ahyar Fatuh rahman,5,2023-03-30 09:13:30,Mantap
yustina patricia,5,2023-03-30 09:08:15,Cepat & bersahabat
Norman Adi Syahputra,3,2023-03-30 09:03:16,sering kecewa dengan beberapa driver gojek
Siska Artati,5,2023-03-30 08:54:07,"Slalun tepat waktu, ada diskon dan voucher"
Syaepudin Syaepudin,5,2023-03-30 08:53:09,Ok pokoknya
Wendikaka Muamar17,5,2023-03-30 08:48:59,Membantu keseharian masyarakat semoga wilayah wilayah kecil juga bisa makin banyak yang terjangkau
juragan cabe,4,2023-03-30 08:23:58,Good
Affan Nurfalah,5,2023-03-30 08:13:35,Penjemputan sll tepat waktu
Achmad Baihaqi,5,2023-03-30 08:09:15,Sangat bagus aplikasi nya
Rindi 99,5,2023-03-30 08:02:04,"Bagus, sesuai kebutuhan konsumen"
reymon nempung,5,2023-03-30 07:55:34,Sangat baik
Alena Gristin,5,2023-03-30 07:19:25,Seneng pake aplikasi go jek pokoke
Devi Ariyani80,5,2023-03-30 07:06:39,Suka
Asrof Ubaid,5,2023-03-30 06:56:35,naik gohek dijemput dan diantar...oke
Siti Sunarti,5,2023-03-30 06:48:44,ok
Zarot Aja,5,2023-03-30 06:33:10,Masih ada aja konsumen yg bodoh dan tolol yg mempermainkan orderan dengan alasan kepencet lah dan lain lain ingat karma berlaku buat anda yg suka cencel orderan
Triyono,5,2023-03-30 06:22:25,Oke banget
sartika purnama dewi,3,2023-03-30 06:22:00,"Selalu ad iklan dan penawaran gopaylater cicil tp bgtu di klik sistem sedang di perbaiki! Bsk2 klo ga bisa di gunain mending hilangkan sekalian itu aplikasi ny,ga ush nawar2in atau iklanin!!"
Asha Insan,1,2023-03-30 06:17:59,"Ini udah top up tapi ko aplikasinya muter lama banhet ya gabisa ke buka2, nyesel juga top up"
ikhwan ridwan,1,2023-03-30 06:09:01,Saya pesen gofood harganya mahal banget masa jarak 3 kilo 50 RB yang bener ajaa
Lady Marcielly,5,2023-03-30 05:50:56,Selalu puas dengan pelayanannya 🙏😊
007 Ibnu Syauqi Rizky yazid,5,2023-03-30 05:38:50,"Pakai, Gojek, nyaman."
Dhydhy Sulistiawan,1,2023-03-30 05:23:11,ok
Juju Zuhriyah,1,2023-03-30 05:00:52,Sejak ganti owner kaya rentenir. Smpe gofood aja mahal bgt. Dulu pak nadim ga kaya gini. Uninstall
Muhammad sulton aulia,3,2023-03-30 04:56:13,saya klik titik tujuan yg diinginkan eh malah setelah driver terima pesanan saya malah jadi beda titik tujuannya semoga developer perbaiki lagi untuk driver si ok
INFO CHANNEL,5,2023-03-30 04:40:52,BISA DIANDALKAN DALAM KONDISI URGENSI
Red Devil,1,2023-03-30 03:55:34,Gopay tf nyangkut gak masuk...belum saatnya layani tf bank sekali nyangkut ber hari hari gak msuk Udah habitat dompet OJOL...
Mamat Wibu,4,2023-03-30 03:34:27,aplikasi yang sangat membantu kehidupan sehari-hari
Biru Rohmah,5,2023-03-30 03:17:00,So far so good
Wady Ganden,5,2023-03-30 03:12:46,Sangat membantu
Saipul Akmad,2,2023-03-30 02:46:44,Tolong diberikan penghapusan transaksi demi kenyamanan dan supaya aman alangkah baiknya terverifikasi terlebih dahulu sebelum menghapus akun mohon di pertimbangkan lagi untuk kenyamanan 😊😌😇
Achmad Zainudin,5,2023-03-30 02:41:09,"Saya suka sekali dengan adanya gojek,karna selain mudah untuk di pesan,ditambah lagi fitur yg semakin canggih,tolong di kembangkan lagi agar semakin maju dan berkembang untuk gojek indonesia."
LORD INGUSAN,5,2023-03-30 02:37:53,Jangan Kebanyakan Biaya ini itu Jek..
Andi Subandi,1,2023-03-30 02:19:44,4 bintang dulu aja soalnya saya udah beberapa kali upgred gopay plus gagal mulu.
Herman Sutanto,2,2023-03-30 02:14:28,"Driver tidak diperhatikan masalah penghasilan, menurunkan kepercayaan customer terhadap komitmen gojek dalam jasa pelayanan. Saya lihat keluhan keluhan driver maupun customer sering diabaikan. Bahkan cenderung seperti tidak peduli."
Uney Hokkie,5,2023-03-30 01:45:54,Tambah simpell bagus ni apk yah
Sekayu Muba,5,2023-03-30 01:43:49,sangat bagus
CHENNEL METTA FAMILY,5,2023-03-30 01:40:08,mantap sangat membantu
JAKA HAYAJI (Kaka),1,2023-03-30 01:28:50,"Lemot.. kesian liet driver gojek pada melongo,nyender bengong dbl. Banyak customer ngeluh aplikasi ini lemot dan tarif yang ga bisa konsisten. Beda ama aplikasi sebelah ga kebanyakan menu juga mudah digunakan. Gojek mo tarifnya murah juga kalo lemot males order jek. Tolong diperbaiki kasihanilah drivermu jek. Banyakin promo jek...jangan banyakin swadaya oli murah,paket data murah dbl, tapi promoin biar order melimpah juga aplikasi customer dibagusin.Dulu hape ram 256mb aje masih bisa order.MIKIR"
Andrie Baran,1,2023-03-30 01:13:34,Mahal potongan nya
Febriansyah Pebri,5,2023-03-30 01:13:10,Kenapa dana goto/saham .saya belum juga tampil iy????????
ojek maxim,1,2023-03-30 01:11:43,"Apaan pay laternya gajelas blasss, baru juga order tanggal 30 maret 2023, kok temponya tanggal 31 maret 2023, paylater apanya sehari setelahnya udah tempo aja, mana harus bayar biaya admin perbulannya 10ribu, galagi lagi dah pake paylater, mulai nipu nih aplikasi, apa bedanya sama bayar langsung pake rekening kalo begitu ceritanya, sumpah hapus aja ini aplikasi jangan lagi lagi dipake dah"
haryanto anto,3,2023-03-30 01:10:50,Semoga bisa membantu dan memberikan pelayanan yang terbaik dan fitur playeter sya tersedia dll
Siti Handayani,5,2023-03-30 01:02:59,apikasi bagus mudah di pahami dan sangat membantu
Irawan Irawan,5,2023-03-30 01:02:32,Susah untuk di Download
F G,5,2023-03-30 01:00:56,Pakai gojek jauh lebih gampang dan aman bosku
Duri riau,5,2023-03-30 00:53:27,Menyenangkan
Razka Botak,3,2023-03-30 00:26:35,Gimna cara nya masuk ke akun gojek karna no HP lama hilang sama email juga belum d previkasai
Evi Mala,5,2023-03-29 23:59:12,Bagus kok
Ghon Choq,4,2023-03-29 23:55:30,Ok bagus
Farel Saputra,5,2023-03-29 23:45:24,Buruan download di jamin ga bkl nyesel
aldira gomax,1,2023-03-29 22:55:31,Wat para costumer tolong lah kasih rating bintang 1 biar IT 2 dongk yang di gojek mikir kasihan driver ya pada kelaperan di jalan Tolong pehatikan driver anda kasihan banyak yang kelaperan dan kesulitan dapat order Mereka butuh makan butuh bensin butuh uang wat istri butuh susu wat anak PA nunggu driver mati kelaperan pa di jalan Nyiksa driver jangan begini cara ya bosss
Kimi Hime,1,2023-03-29 22:55:16,Cashback gopay coins tidak masuk padahal sudah memenuhi syarat dan ketentuan
Erma Octaviani,5,2023-03-29 22:50:34,Promoo nyaa donk
Cappucino,2,2023-03-29 22:32:19,Ada tambahan biaya layanan yg lumayan mahal menurut saya .maaf
Ariief Sinantra,1,2023-03-29 22:25:20,Kasih driver . . Jeda bisa sampe 5 jam
Heri Permana,5,2023-03-29 22:18:05,Ok gojek the best
opek 420,5,2023-03-29 22:06:53,Bagus
Basitbarri Barri,5,2023-03-29 22:00:47,menyenangkan trima kasih
Nur Syamsu,5,2023-03-29 22:00:31,Mantap 👍
Taufik Ismail,2,2023-03-29 21:58:26,OK
Jalan Cerita,1,2023-03-29 21:56:40,Aplikasi buruk
Hermawan mawan,5,2023-03-29 21:54:47,Aplikasi yang sangat membantu banget
Dede Solehudin,5,2023-03-29 21:52:32,Mantappppp
Diah Rahme,5,2023-03-29 21:52:26,Very Good
Satria Alam,1,2023-03-29 21:49:22,"Gojek skrg cashback gopay koin,,,, gak menarik"
Sari Hariati Duhrkop,5,2023-03-29 21:45:56,good driver ramah deh ok
Miftah Hilman,1,2023-03-29 21:45:05,Udah gopay plus malah di balikin jadi gopay biasa lagi.. proses nya ribet dan lama..mau transfer jadi gak bisa langsung
Is Kandar,5,2023-03-29 21:40:35,Mantap
Queen eyelash Lampung,1,2023-03-29 21:38:28,Semenjak ada biaya pelayanan jdi ngeri mau pesen gofood lgi gede di ongkir sm biaya pelayanan dri pda jumlah pesanan
Zabal Rohmah,5,2023-03-29 21:37:58,Bagus
Keyra Azahra Aprilia,5,2023-03-29 21:33:04,Recommended
Amy Priswanti,1,2023-03-29 21:26:36,"Saya bayar, sebelum bayar udah dipastikan voucher nempel. Pas udah bayar, malah voucher gak dihitung nempel & gak dpt cashback. Aplikasi Penipu!! 👎👎👎👎👎"
Ridwan Hakim88,1,2023-03-29 21:23:10,Terima kasih dengan ada nya maxim jd kebantu
rahmat bhule,5,2023-03-29 21:23:03,semua jd mudah
Dewi fatimah,1,2023-03-29 21:20:37,Bgmnh she masa udh gopay plus d balikin lg gopay biasa... Manah apdeddd data ktp sm foto gagal trs.... Jagan gadi2 nih sistem gak jelasss....
Siti Arsiah,4,2023-03-29 21:13:12,Sanagat bagus
ardio,5,2023-03-29 21:10:06,Berkat kamu aku bisa top up in temanku :]
Elli Susanti,5,2023-03-29 20:56:08,Puas dengan pelayanannya dan sikap driver yang ramah
Hafiz Maulana23,1,2023-03-29 20:55:12,Memasukan pin yang benar knpa salah? Tolong kerja samnya
Taufik pa'De,5,2023-03-29 20:53:06,.matursuwun
Sun Dari,1,2023-03-29 20:49:31,Ribet bangett mau ganti nomor telepon krrna udah gaaktif tunggu 30 jam.
RAFLY & GIBRAN TAFONAO,1,2023-03-29 20:45:10,Mau transfer eh... Upgrade... Gagal mulu di karenakn ktp blur... Emang gak ada solusi lain... Nik-nya gt... Apa NO. KARTU KELUARGA... Jangan di persulitlah...
Mumus Wahyudin,1,2023-03-29 20:42:09,Aplikasi busuk gak jelas. Mau transfer aja harus upgrade dlu. Bikin repot orng
Satria Wicaksana,1,2023-03-29 20:35:57,🤌
Edo setiawan,1,2023-03-29 20:34:17,"Mohon maaf bukannya mau menjelekkan pihak gojek, tapi setiap order motor ketika gerimis itu juga gak hujan kenapa tidak ada yg ngambil? Udah berapa kali coba tetap aja gak ada yg mau, beda dengan yg kuning cepat ngambil orderan dan langsung otw gak peduli gerimis sedikit aja. Kita juga ngasih lebih banyak tolong pihak gojek yg suka milih orderan di tegur kita menggunakan layanan kondisi sakit. Tolong perbaiki driver yg suka milih begitu. Makasih"
yandi official,5,2023-03-29 20:29:56,mantap
Bajol ijo channel,5,2023-03-29 20:26:57,Mantap
BMJ Squad,1,2023-03-29 20:14:10,Saya udah mengajukan update gopay plus udah 1×24jam tapi masih proses proses aja tolong dong di respon gopay saya gk bisa digunakan jadinya
Pak Sur,1,2023-03-29 20:10:30,"bisa ngasih bintang satu ,kenapa saya apgrede sudah 3 hari kog blom ada relisasi , gopay blom bisa di buat transaksi klo blom apgrede"
engkos kosasih,5,2023-03-29 19:52:48,Bagus
Joe Setiawan,5,2023-03-29 19:50:06,God Aplikasi
Made Nono,5,2023-03-29 19:33:26,👍👍👍
Raswan netron,3,2023-03-29 19:27:33,Tes on
keli sanjaya,5,2023-03-29 19:21:07,Auto uninstal sya ga bisa update k gopay plus karena poto ktp sya ga jls syng padahal saya sblmnya suka bngt pke aplikasi ini tp gpp msh ada aplikasi yg lain yg serupa
Saichu Anwar,5,2023-03-29 19:14:20,"Gojem memang mantap buat bepergian kmanapun tujuanya,, baik driver dan pelayanan sangat memuaskan lengkap mantap, pokok'e jos mazeee"
Oky Yoga,5,2023-03-29 19:10:35,Mantap
Rasoma Roma,2,2023-03-29 19:09:53,"Aku saya gag bisa transfer gara gara coba klik gopay plus, udah 2 hari ngasih data belum di ACC juga ...gag bisa transfer antar bank jadinya"
Yuliana Clp,5,2023-03-29 19:02:44,Mantap
Sani Al Hafeez,1,2023-03-29 19:01:37,Parah di aplikasi nya di suruh update gopay plus tapi gk di respon update ny jadi gopay saya gk bisa di transper gopay saya nya 500ribu lagi parah gojek sekarang gk kaya dulu
Nur mas,4,2023-03-29 18:57:53,Ini gimana sih saya sudah topup gopay dari rekening saya ke gopay. mau saya transfer ke gopay temen saya. tapi statusnya masih verifikasi terus udah lebih dari 1×24 jam statusnya masih verifikasi. lama bgt. saya udh nunggu nih cuman mau TF ke gopay temen aja ribet bgt.
Herbal Aththoifa,5,2023-03-29 18:46:48,Bagus
Karina Septiliana,1,2023-03-29 18:46:39,"makin buruk, mending tutup."
Tri Nuryani,5,2023-03-29 18:46:29,Oke
agung Aditya,1,2023-03-29 18:44:27,Kenapsih skrng g ad lagi voucher promo gofood lagi.beda bgt ama dlu Tmbh kesini tambah jelek Masa iya g ad voucher terus lo suruh gw byr ongkir gtu apk jelek udh sukses Main ubah2 fitur aj G ush dowload jelek
Aura Siti Rahmawati,3,2023-03-29 18:44:12,"Ribet transfer gopay harus ktp, selfie dll banyak aturan"
ohja ngan,5,2023-03-29 18:38:17,Luar biasa
gefi siregar,5,2023-03-29 18:33:57,coba dikaji kembali untuk penambahan fitur trip ditiap minggu
Gatot Prayoga,5,2023-03-29 18:28:23,👍👍👍
T Dax,1,2023-03-29 18:11:03,Mahal banget bunga Gopay Pinjam dan biaya layanannya. Gak ada pilihan 12 bulan pula. ;(
Nuril Hidayah,5,2023-03-29 18:02:05,"Terbantu krn tinggal online langsung datang gk perlu nunggu lama,terbantu sekali"
rendra nova,3,2023-03-29 18:00:12,Alamat dan titik map tidak sesuai...
Eko Yulianto,5,2023-03-29 17:58:15,Muda mengaplikasikannya
Daukas Nuarian,3,2023-03-29 17:55:39,"Sehabis Update sekarang ada Animasi ""Pembelian Berhasil"" setelah Pembelian Tiket Kereta di Go Transit (Saya gk tau Tiket lain juga atau tidak) Tapi mungkin ini masukan minor saja. Dengan adanya Animasi tersebut memperlambat Antrian di Taping Tiket Stasiun. Mungkin bisa diPercepat Animasinya atau diHilangkan 👌"
idora nainggolan,5,2023-03-29 17:54:33,"Selain membantu antar jemput kita, gojek mengerti kebutuhan kita.... terima kasih telah menemani dan melayani kami"
Suroso Sumeh,5,2023-03-29 17:49:57,Gojek ok 👍👍👍
Stef,5,2023-03-29 17:49:41,Nice apps
yana kenari,5,2023-03-29 17:47:09,Jangan mempersulit cs
Elce,1,2023-03-29 17:46:26,burik ah males
Anto Eza,1,2023-03-29 17:41:05,"Jadi ngeri transaksi pakai ini Dompet, transaksi berhasil motong saldo tapi di penerima Zonk!, Saat komplain di lempar ksana kmari berlarut larut entah bagaimana ujungnya sudah 10harian,,, masih menunggu dengan sabar."
Baswara Yudha Karana,4,2023-03-29 17:38:49,Aplikasi bagus buat alternatif berpergihan
EKO SYAFRIYO HARTONO,5,2023-03-29 17:38:45,nicee
Aldi Wijaya,1,2023-03-29 17:38:17,Mau pesan aplikasinya muterrrrr teros lemot. Kok malah nyalahin sinyal gua. sinyal lancar nonton youtube lancar buka aplikasi lain juga lancar emang aplikasi lu yang aneh malah nyalahin sinyal blokkkkkkkk
Harfi Kurniawan,1,2023-03-29 17:38:05,"Upgrade wallet biar bisa transfer,di apk butuh waktu 1x24jam. Pas udah lebih 24jam ga berubah statusnya,mana pas butuh bgt kont..."
Lanky Suak,5,2023-03-29 17:27:54,"Good, from goto"
Obiel Sugara,5,2023-03-29 17:21:49,Sangat efektif dan membatu
Eko Adi,5,2023-03-29 17:19:54,Bagus
Restu Yyyy,1,2023-03-29 17:17:47,"Transaksi menggunakan pin gopay error,padahal udah benar pin nya tapi,tidak bisa transaksi"
Danil Liem,1,2023-03-29 17:14:34,Parah memproses terus
Muhammad Kiman,4,2023-03-29 17:14:05,Semoga saya bisa lebih mudah dengan aplikasi gojek ini
Insan Mandiri,1,2023-03-29 17:14:01,Aplikasi iblis
Fatur Rohman,5,2023-03-29 17:12:13,promosinya banyakin dong
Ok Promosi,5,2023-03-29 17:05:42,Mantap
Daamxyz.,1,2023-03-29 17:02:14,"sekrg udh kaga mantap, biaya layanan nambah terus kek utang negara"
syukrie khan,5,2023-03-29 16:51:25,Simple n Helfull
Ruben bogar,1,2023-03-29 16:49:51,DOMPET GOPAY SAYA DIBLOKIR DENGAN ALASAN YANG TIDAK JELAS.SAYA MENGALAMI KERUGIAN DENGAN HILANGNYA SALDO SAYA.KEMBALIKAN UANG SAYA
Deden Chudenz,1,2023-03-29 16:36:39,Yang anyep makin sengsara yang gacor makin gacor plis deh jek kasih yang akun anyep mereka juga Mitra sia
Siti Maryam,5,2023-03-29 16:35:32,Top banget...
Eko Susanto,1,2023-03-29 16:34:54,"Kebanyakan biaya, pantes murah pendatang baru"
Rudi Hartono Mr Lugas17,5,2023-03-29 16:33:21,Cool
Muzhar Harun,5,2023-03-29 16:23:25,memuaskan
Solehudin Soleh,3,2023-03-29 16:22:42,Orangnya baik
Bambang Hariyanto,5,2023-03-29 16:21:35,kami sangat puas atas jasa nya.
pejuang gamers,5,2023-03-29 16:19:47,mantap
Akun Heru,5,2023-03-29 16:19:30,Mantul
fikri firjatulloh,5,2023-03-29 16:17:01,Aplikasi yg sangat membantu
Achmad Syakdullah,5,2023-03-29 16:09:43,mantab gopaylater. mudah mudahan saya dapat kenaikan limit. makasih gopaylater. aku makin cinta
Wisam Fauzan,1,2023-03-29 16:09:05,Bintang satu karena akun gojek saya tidak di buka blokiran nya
Deron Citro,1,2023-03-29 16:04:02,Gk bisa minta uang ke orang lain. Katanya suruh update. Sudah saya update tapi tetap nggak bisa
Agustus Hia,5,2023-03-29 16:03:45,Bagus
Satria Wira Wardana,1,2023-03-29 15:57:50,Apaan masa minta benerin akun yg ke blokir dari tahun kemaren sampe tahun ini kaga bener bener respon nya cuma bgitu doang parahh amat mending uninstall ajhh bosss
Nabila Nugroho,1,2023-03-29 15:52:39,Versi naik terus tpi orderannya mana
Edy Taylor,1,2023-03-29 15:51:04,Tidak ada layanan mobil
Arwan Syah,5,2023-03-29 15:49:29,Kenapa ya saya sudah 2 kali daftar gopal later selalu di tolak
Agha Gavinsyah,5,2023-03-29 15:36:15,mohon untuk pengantaran double ordernya dihilangkan. karena hal ini sangat merugikan customer.. pengantaran pesanan jadi makin lama.
Sani Sani,1,2023-03-29 15:22:21,Hati hati pake gopay. Jangan banyak banyak narok saldo di gopay. Punya saya tiba-tiba akun gopay di bekukan dan tidak bisa buka kembali padahal masih banyak saldo di sana. Aplikasi kurang ajar. Saya sumpahin bangkrut susah idup nya buat tim gopay yg terlibat kena karmanya amin.
Land Dermawan,5,2023-03-29 15:21:28,"Tolong dibantu n di respon dengan cepat... Karena tdi pada saat saya mau transfer saldo GO-PAY, tiba2 minta upgrade dengan keterangan ada indikasi perbedaan dgn KTP... Pdahal semua sudah benar n akun gojek saya g bermasalah, tpi tiba2 saya harus update jdi GO-PAY plus..."
Pengguna Google,5,2023-03-29 15:12:10,Kenapa lama sekali upgrade Gopay plus saya ?
imam rasyidi,4,2023-03-29 15:07:01,Bagus
Muh syam syam,1,2023-03-29 15:03:51,Mohon maaf di aplikasi Gopay tdk ada fitur tarik tunai nya
Ari Wibowo,5,2023-03-29 15:02:07,Ok
Rahman Farida,5,2023-03-29 15:00:39,Okok
Indra G,1,2023-03-29 14:59:09,Gausah notif notif gajelas ganggu terus
SFL GzGanzo,4,2023-03-29 14:53:01,Kemaren di rating sama temen
Failasup Yusup,5,2023-03-29 14:52:27,"Tolong pihak goto dpt drever jauh"""
Kenisya Putri,5,2023-03-29 14:52:00,driver nya ramah dan cepat
Chairul Oktaviansyah,1,2023-03-29 14:49:54,"Mahal, mending Grab, lebih murah"
ARFAN GAMING HD ARFAN GAMING HD,5,2023-03-29 14:49:51,Aplikasih ini sangat membantu saya dalam belanja buat puasa🗿👍
Indra Boy,5,2023-03-29 14:48:49,Mantap
Rosyid,5,2023-03-29 14:48:18,Mantap
Mohamad Syarief,1,2023-03-29 14:46:35,Knpa sya gk bsa tf dri gopay ke bank masa msih di ferivikasi trus kpan klarnya.
Andi F,1,2023-03-29 14:44:08,MALING GOPAY!!!
Samin Samin,1,2023-03-29 14:41:55,Kasian driver potongannya sampai 30/100
