content,score
"Suka2 ! lancar banget, tidak beriklan, tidak ada bug & lemot, sehingga sukalah bertransaksi dan mengakses setiap menu-menunya secara detail dari fitur""nya. walaupun sayangnya masih ada bagian dari fitur-fitur tersebut belum terlalu di mengerti kegunaan / fungsi nya, hanya ada beberapa dari fitur yg dominan di gunakan dan hampir setiap hari bertransaksi, sprti di saat mengisi pulsa, token, membayar tagihan dan transfer, saya suka mmakainya karna kadang ada potongan harga, gratis admin",5
mantap .dan peratis,5
"bagus aplikasi ini, tidak ada ikan bug ataupun lemot, cocok sekali bertransaksi dan menjelajahi setiap detail dari menu""nya, namun ada juga beberapa bagian fitur yang belum dipahami terlalu semuanya guna dan maksudnya, misalnya fitur yang penggunaannya paling sering seperti transfer antar bank, bayar tagihan dan pembelian paket data atau pulsa, saya lebih memilih memakai aplikasi ini karena setiap produknya harganya sangat terjangkau, sangat menguntungkan jika dijual kembali, cocok buat bisnis.",5
sangat menyenangkan blanja di shopee,5
"suka banget""lancar sekali, tidak beriklan, tidak ada juga dan juga lemot, sehingga suka ketika dipakai bertransaksi dan mengakses setiap detail fitur-fiturnya, sayangnya namun ada bagian fitur-fitur yang belum terlalu dipahami kegunaannya dan fungsinya secara keseluruhan, hanya ada beberapa dari fitur yang sering dipakai setiap hari untuk bertransaksi salah satunya, mengisi pulsa paket data dan membayar tagihan, menurutku semuanya sangat oke, terutama transfer ke seluruh bank free admin kawan..",5
bagus,5
membantu,5
bagus,5
shope pinjam ga pernh acc.saya pengguna lama shope,1
.ini Giman ko akun sayah di bekukan oleh pihak spinjam. pinjam juga .ngga ..tolong akun sayh jangan di bekukan,1
mantap,5
sangat mudah untuk digunakan,5
good bagus,5
good,5
bagus,5
ok,5
baik,5
memuaskan,5
sangat baik,5
TERIMA KASIH,5
memudahkan dalam berbelanja,5
mantap .simple n mudah,5
nika aku boleh milih...memang ini yang benar benar bagus,5
😊,5
"selama ini sangat membantu, apa pun bisa menggunakan shopee Pay dlm hal pembayaran, terimakasih Shopeepay.",5
Sangat Membantu,5
"udah daftar ,lagi di tinjau memang nya lama nya kalau lagi di tinjau min",5
ok,5
ulasannya banyak template,1
GG gimank,5
apik yo,5
baik sekali semua jdi lebi mudah,5
sangat membantu sekali terima kasih shopee...,5
nyoba dulu,3
super cepat,5
"moga-moga jd idaman semua orang, aplikasinya memang memudahkan dr segala hal kebutuhan 👍good job",5
Mantap,4
suka,5
sekarang pakek shopee express malah lama bgt smpenya,4
Sangat membantu. Top banget,5
shopee emang ok...,5
mantap proses cepat,5
sangat membantu sekali,5
aplikasinya cocok bbgt buat transaksasi buat pembayaran atau pakai Qrisss,5
Belanja....di shopee aj.👍,5
mantap,5
good,5
Nice apk buat comercial online,5
aplikasi nya sangat memudahkan dan sangat membantu,5
mantap👍👍👍👍👍👍,5
Good,5
"menyenangkan semua serba lancar ,praktis , dan praktis",5
bagus,5
Mantap banget,5
apk aneh ga bisa daftar maupun login akun yang sudah ada.,1
saya sangat suka👍👍,5
sangat puas,5
Semoaga lebih bagus dari yang lain sya kash 4 bintang dulu y biar di coba dulu,4
mantap,5
saat ini bagus,5
"memudahkan, apalagi sdh bisa d tautkan ke m banking",5
semua jadi lebih mudah dan terjamin.mantap..,5
bagus,5
oke juga,5
baguss memper mudah bel3nja,5
simpel... suka...,5
aplikasi yang sangat membantu,5
ok,5
bagus sekali,5
bagus 👍,5
ini beneran bakal dpt 50rb?,5
cepat dan terpercaya,4
"⭐⭐⭐⭐⭐👍 untuk Spaylater angsuran nya sudah sangat fleksibel bisa terjangkau sampai 12 bulan bahkan ada yg 3tahunn ini sangat membantu sekali untuk saya yang pensiunan jadi sy bisa mengatur pengeluaran kalau bisa limit Spaylater sy dinaikkan,minimal 3jt trimakasih 🙏",5
pengiriman selalu di tundah2 kata kurir besok besok besok besok sampai kiamat,1
ok 👍👍,5
ok,5
saya coba dulu ya,3
bagus & membantu,5
ok,5
bagus,5
bekerja sambil bermain dapat duit,5
apk paling bagus,5
aplikasi termudah GK pake ribet belanja online,5
Tanpa Admin setiap transaksi 😭 Terimakasih kak Sukses selalu 🙏,5
mantap untuk yg terbaik baik aja,5
sangat mengefesienkan waktu,5
saya kasi nilai bintang satu s pay buruk saya tidak suka kenapa dana saya d kembalikan terus padahal sudah berhasil mndapat plas sale setaaaaaan👿👿👿👿👿🤖🤖,1
mantabbbbbbb,5
memudah kan untuk transaksi,5
cukup mudah digunakan dalam mentasfer,4
baik,5
bagus,5
bagus,5
bagus banget aplikasinya,5
"jangan pernah beli produk emoney di sini, kalo saldonya ga masuk ribet ngurusnya. udh hampir 1 minggu ga ada solusi apa apa",1
niceeeeee,5
Aplikasinya sangant mudah digunakan dan memudahkan pembayaran,5
aplikasi kakean syarat,2
seleksi lagi buat lagi seler tidak amanah,4
ngebantu banget buat keperluan ngedadak,5
matab👍👍,5
mantap betul,5
bagus,5
good,1
baik dan memuaskan,5
aplikasi yg sangat baik untuk kehidupan kita sehari-hari,5
aplikasi ny bagus,5
ok,5
nice,5
keren,5
mantap,5
sangat amat baguss cara kerjanya,5
sangat membantu,4
luar biasa,5
bagus,5
bagusssss,5
good,5
sangat membantu sekali,5
bsgus,5
mantap,5
semakin banyak promo murah,5
bgus,5
oke banget,5
bagus aplikasi nya saya lupa pin nomor lama sudah hangus saya panik trus langsung ke pusat bantuan shoope eh langsung di respon ga nyampe 2mnt langsung keluar kodenya lewat sms,5
"mudah, cepat, dan praktis",5
sangat membantu dalam proses pembayaran,5
baik,5
hemattttt,5
aplikasi multi fungsi yang sangat bermanfaat,5
lancar sekali,5
"ko susah bgt ya mau ganti no.hp, gw udah dapet email dari shopee udh gw pencet izinkan ubah, eh pas balik ke apk ini ngulang lagi",1
Oke,5
Yang ada cuma silmulasi² doang ...!!!,1
bagus aplikasinya tapi buatin khusus buat shopee seller center cuman khusus buat jualan gitu...biar gak campur di aplikasi shopee nya kayak di tokopedia kan ada khusus tuh aplikasi jualannya,5
"sangat membantu, semoga makin sukses",5
"bagus ,",4
bermanfaat dan sangat membantu sekaliuntuk kehidupan sehari hari,5
belum dicoba sih tapi semoga bagus banget,5
smoga lebih baik lagi dan murah,5
"lumayan iso utang, 😄😄😄",5
Shopee Pay luar biasa sangat membatu sekali dalam segala hal,5
top dah 👍🏻👍🏻👍🏻,5
bagus,5
kalau tidak mau meminjamkan orang gak usah pengajuan ditolak sdh 3 kali aplikasi tidak benar,1
top,3
bagus,5
aplikasi shopeenya sangat membantu dalam kebutuhan sehari_hari dan bermanfaat bagi saya,5
lancar bagus cepat,5
Sangat bagus iklan sama yang di kemas sesuai pesanan,5
kecewa di shopee,1
Top,5
"gabisa berkata"" thebest🥰",5
selalu amanah apk ini,4
nice,5
"mantap banget,,,",5
"udah limit kecil, abis bayar paylaternya limit ga balik parah emang",1
sangat membantu,5
ok,5
Memuaskan 👍👍👍👍,5
Sangat bagus,5
selamat,2
asyik,5
susah amat kirim uang,1
"sementara puas , soalnya aplikasi blm saya pakai",4
bagus sekali,5
sangat membaku dikala sedang tidak ada dana.,5
mantapp dan suka sekali,5
gk ada gambar,1
coba yg terbaru,5
"BAGUS"" lancar banget, tidak beriklan, tdk ada bug & lemot, sehingga nyamanlah bertransaksi dan menjelajahi setiap detail dari fitur""nya. Cuman sayangnya msh ada bagian dari fitur / menu-menunya yg blm terlalu di mengerti apa fungsi dan kegunaannya. Hanya ada beberapa fitur penting yg plng aktif dipakai tuk kebutuhan sehari hari sprti transferan, isipulsa, toke, wifi dan pembayaran2 penting lainnya, sy cendrung mmakai apps ini karna tiap produknya harganya cukup murah, gratis biaya adm tranfer",5
Aplikasi hebat mudah di gunakan.. Cocok buat orang yang lagi membutuhkan trima kasih shoppe,5
"Suka""dipakainya sangat lancar, tidak ada iklan bug dan lemot, menjadi suka bertransaksi dan menjelajahi menu menunya"". akan tetapi sayang juga sih ada beberapa fitur dan menu tersebut yang belum dipahami fungsi dan kegunaannya, ada beberapa fitur yang sering dipakai bertransaksi seperti, pengisian pulsa pembelian paket data dan top up e wallet, menurut pengalaman saya semua transaksinya lancar tanpa ada gangguan, sering mendapatkan promo atau potongan harga terutama transfer antar bank,gratis.",5
bagus,3
bagusss sukaaa bangettr,5
Sangat baik,5
semakin puas,5
"Suka2 ! lancar sekali, tidak beriklan, tidak ada bug & lemot, sehingga sukalah bertransaksi dan mengakses setiap menu-menunya secara detail dari fitur""nya. walaupun sayangnya masih ada bagian dari fitur-fitur tersebut belum terlalu di mengerti kegunaan / fungsi nya, hanya ada beberapa dari fitur yg dominan di gunakan dan hampir setiap hari bertransaksi, sprti di saat mengisi pulsa, token, membayar tagihan dan transfer, saya suka mmakainya karna kadang ada potongan harga, free biaya transfert",5
shopee makin sukses selalu,4
nice,5
ok mantap,5
mantap,5
baguss,5
baik,5
loveeee,5
berguna,5
gk ribet,5
sangat membantu,5
saldo di shopeepay cukup tapi mengapa GK bisa digunakan untuk pembelian pemesanan apk shopee,3
ya bagus kok👍🏻,5
tolong free transfer antar w waller atau TF antar bank,5
ok,5
mantap 👍,5
kereeeeen,5
ok,5
spesial buat hidupku,4
"kalau transfer ke E wallet lain di cantumin biaya adminnya, biar bisa ngelebehin gk top up ulang 11k sat, apk kon",1
sangat membantu,5
sangat bagus,5
bagus sekali,5
sangat bagus,5
baik,5
katanya gratis saldo untuk pengguna pertama dan awal. pas sudah di download malah gk dapat apa2.,1
Sangat menguntungkan pake shopeepay,5
bagus,5
good,5
"tolong bantu saya buka shopee paylater nya dong, saya kasih bintang 4",4
"Sedih bgtt, pengiriman hemat sudah tidak tersedia🥲🥲😭😭",1
mantap,3
sangat membantu,5
teebaik,5
baik,5
"Shopee skrg gak bersahabat, males bnget",1
"pake ni apk jaringan wajib lancar jaya, gabisq jelek dikit langsung ke deteksi offline",2
supaya bisa membantu,5
"mudah, aman, cepat dan fleksibel",5
Ok muantaap,5
langsung .dan lancar bsnget,5
gampang untuk belanja untuk kebutuhan dan keinginan,5
nice apps,5
pengiriman lambat,1
bguss bgtt,5
baguss,5
bagus,5
"akun saya tiba2 di blokir karena hal tidak jelas, padahal saya mau narik uang saya sendiri yang sudah sy top up, dan sekarang saldonya juga malah di bekukan",3
ok,5
mantap,5
gacor rek🤭🤭,5
sering dipakai masih jg normal,5
mantap,4
good,5
bagus dan berhasil,5
mantap,5
mempermudah transaksi,5
kenapa saya tidak bisah ajukan pinjaman,5
pengiriman nya lelet ga kayak dulu.,3
ok saya coba dulu nanti bila memuaskan saya kasih bintang 5,4
aneh kadang lemot padahal jaringan bgus,3
Luar biasa 👍🏽 Memuaskan aplikasinya,5
kenapa saldo shopeepay saya tiba2 hilang terpotong sendiri,1
mempermudah transaksi saat belanja,5
"mudah dan praktis, cocok buat yang pengen sat set",5
bagus,5
apk yg memudahkan pembayaran lewat pembelian di shopee,5
sangat membantu sekali,5
"Shoope ngancam sebar data, nelpon kondar.",1
luar bisa,5
bagus,5
keren.,5
oke,5
mantapp l,5
"Saya sangat puas dengan aplikasi ShopeePay ini. Fiturnya lengkap, aman dan terpercaya.",5
ok siip,5
mayan,5
bagus,5
mantabbb,5
sangat memuaskan,5
CLAIM TIPU,1
Mempermudah pembayaran,5
bagus 👍,5
Wah wah wah wah wah,5
mempermudah untung belanja dan mengirim uang,5
senang lebih mudah,5
jelek bangett,1
sangat baik,5
cukupp bagussss,4
sangat mudah cara pembayarannya wkt belanja,5
"download shopeepay katanya dapat 100rb, mana ini katanya dapat 100rb.tipu-tipu ternyata",1
joossss,5
"mau bayar qris dengan shopee paylater error gabisa terus , padahal bayarnya rutin ga pernah telat",1
mantap,5
sangat memudahkan dalam transaksi,5
aplikasi buruk jelek masa menawarkan orang untuk pinjam uang aplikasi sebesar shopee masa miskin kali menawarkan orang untuk meminjam uang.... kalau lu aplikasi udah bangkrut tutup aja jangan menawarkan orang untuk terjerumus ke dalam hutang,1
tolong agar bisa bayar GRAB pakai shopeePay,4
bagus,5
mantap,4
"TF an ku dari spay ke dana kaga masuk2, udah dua hari wkwk kecewa banget najis",1
yes ok,5
sangat membantu👍,5
sangat memuaskan dan masyaallah,5
pembayaran makin mudah pakai shoppe pay,5
okeh surokeh,5
mantapp,5
Terima kasih,5
cakep,5
tidak ada solusi untuk ktp yg sudah terdaftar di nomer lama yg sudah hilang,1
Nyaman bertransaksi dg Shopee..,5
Mantap selalu makin maju dan sukses,5
mantapppp,5
sanggat memuaskan,5
"spaylater nya tolong dong di perbaiki, saya bayar qris selalu terjadi kesalahan trs",1
ok,5
cepat cair yang nya dan lancar tidak menunggu waktu lama asalkan kita punya nama baik di ojk. terimakasih Shopeepay sudah berikan solusi pinjam uang yg cepat pesan ku klo bisa bunga nya jgn gede gede bos yaa supaya banyak nasaba pinjam di sini di karenakan bunga nya rendah klo bisa ya di bawa 1℅ lah supaya nasaba banyak dan saya akan rekomen ke teman teman saya yg lain.. mksi Shopeepay tingkat kan terus aplikasi nya dan jgn lupa sekali lagi bunga rendah yaa ok. 👍🙏🙏🙏,5
lancar jaya rekomended banget,5
aplikasi sangat berguna,4
mantap,5
saya kecewa dg spinjam shopee saya sudah bayar angsuran lebih awal dari tgl jatuh tempo tapi malah pada saat jatuh tempo masih ditagih lg dan statusnya di shopeenya masih blm muncul keterangan terbayar akhirnya saya jadi bayar 2x tolonglah diperbaiki untuk updet pinjamannya,1
ok,5
kepada pihak shopeepay ini gmna sih setiap ngisi saldo malah kurang 1000 ga sesuai sama nominal yg di isi bahkan sampai lebih dari 3 kli,1
mantab,5
mantap lancar terpercaya jangan ada p3nipuan kayak aplikasi sebelah,5
mantaaappp,5
belanja lebih mudah,5
"Kebutuhan pokok adalah NgutaNg,😆😆😆 Terimakasih ShopeePay,keDepan terus memberi Promo dan SolusiNya.. 🙏🏻🙏🏻",5
okey,5
terbukti sangat cepat dalam pembayaran,5
bagus banget,5
sangat membantu disaat isi dompet kosong,5
baik,5
Mantaaap,5
"Increase the promos more, min, give them cheap prices hehhehe, just a suggestion",5
bagus,5
Min tolong dong tambahin fitur ubah harga di pembelian pulsa/ token listrik.,5
belum dicoba🙏🏻,5
praktis,5
sangat bagus apk nya,5
"aplikasi yang bagus untuk bertransaksi dan aman untuk di gunakan ,dan banyak juga bonus untuk pemula maupun senior",5
transaksi jadi lebih mudah,4
mantap,5
"sangat membantu banget shopeepay, mantap deh",5
terimakasih banyak,5
ada masalah di pembelian cepat penganan dengan operator shoope,5
sangat membantu,5
🤑,5
aplikasinya sangat membantu dan bagus skli,5
kenapa gak bisa di aktifkan paylater nya,4
good,5
Sangat Membantu,5
mudah,5
sangat membantu dalam pembelian Kouta bagi orang tdk bisa keluar malam,5
sangat memuaskan,5
ok,5
aplikasi nya bagus bangettt,5
sangat membantu gaya hidup dan kebutuhan jadi lebih mudah dan aman,5
bagus sangat membantu,5
sangat membantu dan memudahkan,5
tf dri shopeepay ke gopay mulai tgl 27.03.2025 sampai tgl 04.04.2025 juga belum masuk gk ada tanggung jawab dri pihak shopeepay,1
sangat membantu,5
mantap,5
kerenn,5
Sangat cepat penggunaannya,5
"kesel bngt gw, mau apa"" harus login dulu trs pke KTP mana gak boleh sama lagi, kan gw jdi ribettttt!!!, bisa gak kya dana aja?? langsung masuk pke no telf, ini harus verifikasi sana sini, kesel bngtt!! gak lagi"" deh pake Shopee pay",1
busuk,1
kasian kurir nya,1
gk bisa di daftar in,1
"mudah top up dgn seabank, banyak voucher saat checkout dan tentunya user friendly",5
bagus sekali,5
bagus banget ada kode Redeem juga,5
baik,5
"Terbagus appsnya, gak ada bug, iklan ataupun lemot, jadi cocok bertransaksib & menjelajahi setiap detail dari fitur2nya. Sayangnya ada jg beberapa menu-menunya yg belum dipahami seutuhnyafungsi dan gunanya. adapun fitur-fitur yang paling sering dipakai adlh transfer,,isi pulsa & paketan, bayar brbayar sperti bayar tagihan listrik dll, sy memilih memakai apps ini berhubung harga produknya cukup murah, transaksi cepat, transfer ke seluruh bank dan ewallet bebas biaya transfer, bisa buat usaha.",5
ok,5
semoga berkah,5
"Terbagus""dipakai lancar, tidak beriklan juga tidak ada bug dan lemot, sehingga nyaman bertransaksi dan menjelajahi setiap detail fiturnya"". namun tampilan menu-menunya terlalu padat jadi banyak yang belum saya pahami, bayar tagihan dan transfer antar bank, untuk fitur ini penggunaannya sangat mudah, ada beberapa fitur yang aktif yang setiap hari dipakai seperti, pembelian pulsa mengisi token dan bayar tagihan serta transfer antar bank, pengalaman semuanya baik, suka error dan sering ada promo..",5
bagis,5
gw saranin kalian jngan deh download aplikasi ini karena sangat berguna apalagi yang mencari keuangan gw saranin yah ini aplikasi bagus sekali gak ada tandingannya gw kasih bintang lima ya mantap shope pay gw bakal terus setia sama aplikasi ini karena bagus,5
"Terbagus aplikasi ini, gak ada bug, iklan ataupun lemot, jadi cocok bertransaksi dan menjjelajahi stiap detail dari fitur""nya. Sayangnya ada juga beberapa menu2nya yang belum terlalu dipahami semuanya guna & fungsinya. ada pun fitur2 yg penggunaannya paling sering misalnya transfer,,isi pulsa & paketan, bayar tagihan listrik, air, wifi dll, aku lebih memilih menggunakan apps ini sebab harga tiap produknya yang murah, bisa di jual kembali terutama transfer ke smua bank, krna disini bisa freee.",5
sangat cepattt,5
"TERBAGUS dipake, gak ada bugnya, iklan atau lelet-lelet, jadi cocok bertransaksi & membuka-buka setiap detail dari fitur2nya. Namun sayangnya ada jg beberapa menu-menu nya yg belum dipahami seluruh fungsi dan gunanya. adapun fitur-fitur yg paling sering dignkan adlah transfer, isi pulsa & paketdata, bayar tagihan misalnya liatrik, air, dll, sy memilih memakai apps ini sebab harga produknya murah skli, transaksi jg lancar, transfer ke sluruh bank, biaya adminnya free, bagus tuk skla bisnis",5
terus ditingkatkan lagi biar aku ga bisa pindah ke lain hati,5
baik untuk yg malas belanja keluar rumah dan lebih hemat,5
Mantap,5
sangat puas,5
sangat menyenangkan berbelanja di shopee,5
kenapa saya GK pernah di ACC dalam mengajukan shopee paylater padahal data saya lengkap dan blm pernah di gunakan buat pinjaman sama sekali tolong pihak shopee di ACC data saya,5
goat 👍,5
ribet sopi cara megambil uang tunai gimana caranya,1
good job Shopee,5
terbaik,5
sangat bagus dan mempermudah transaksi,5
"Hapus Akun > Server error > Hubungi CS > CS said ""Tunggu ya"" > Cust said ""Sama ae njr"" Server Error Tim nya kerja kan ya.. Mohon Perbaiki. Tunggakan? dan saya gada tunggakan apa apa di akun itu.",1
sangat baik,5
membuat semua transaksi menjadi lebih mudah,5
kesal dengan APL ...hanya Php,1
baik,5
ok,5
ahh mau spinjam gak di acc mulu udah 5 kali 7 bulanan,1
"bagus sekali aplikasinya,, sangat membantu",5
baik,5
belanja d shopee bikin puas,5
cukup puas,5
baguss,5
wowww,5
mantap,5
Alhamdulillah.. bisa juga pake spaylater QR code.. udah deg degan 😅.. makasih shopee,5
bagsu,5
mntap pokok nya,5
bagus,5
mantap 🤌,5
aplikator rusak,1
sangat mudah dan lancar menggunakan shoppepay. Mantaap dan keren,5
puas sekali,5
terimakasih aplikasi nya sangat baik,5
ok trimaksih,5
Aplikasinya bagus. gampang digunakan. banyak promonya.,5
sangat bermanfaat dan efisiensi dalam penggunaan aplikasi shopeePay,5
bagus,5
bagus aku suka nazar,5
mantap pelayanan na nya cepat,5
"kecewa..... dana Terima dr mana masuknya ke Shopee pay, sedangkan aku nga pake Shopee pay..... x 10 ribu nasabah aja lumayan",2
mantap,5
ok,5
Alhamdulillah beli barang di talangin Shopee dulu bayarnya ntar tgl muda pas gajian,5
"saya download karena even dan saya ditipu, saya tidak dapat bonusnya",1
kena prank..w imbing2 instal dapat 100rb..wkk,1
sangat membantu sekali,5
mudah cepat bermanfaat,5
sangat memuaskan dan membantu,5
Markotop praktis 👍,5
siap,5
layar mentok putih saat coba login.sorry ya internet gue bagus jadi jangan salahin internet gw,1
mantap min baru pakai lngsung sukaa,5
Biar bintang yang berbicara...,2
bagus,5
good,4
memudahkan transaksi,5
baik karena apeli kasi sopi Ramadan cukup 👍👍👍👍Baik,5
keren,5
mudah,5
bagus,5
bagus,5
buruk,1
"saya orang baru belum begitupaham dengan shopeepay,tolong ajarin saya cara berjualan di shopeepay",5
sangat sangat luar biasa shopeepat,5
bagus,5
shopee berlibet sekarang mau ambil saldo sendiri pakai di bikin ribet harus upgrade segala ke plus .. saya cuma mau ambil saldo saya sendiri,1
maaaaannntaaaap,5
aplikasi yang sangat membantu,5
sangatmembantu,5
Bagus bget aplikasinya mudah dan gampang untuk transaksi,5
ga perlu keluar rumah klw mau belanyja,5
oke,5
lumayan membantu dan mudah,4
sangat membantu,5
sangat membantu utk segala pembayaran,5
good,5
sangat membantu,5
mending dana sih,1
nice,5
dear shopeePay tolong tambahkan aplikasi dana biar makin mudah saat pengisian saldo...trim,2
good,3
"aplikasi terpercaya,keren serba ada.mksh",5
sangat nyaman untuk berbagai macam transaksi,5
mantapz,4
shope topp,5
burik/buruk/burik/burut,1
"memudahkan cari barang2 yg diperlukan. brg Rumah tangga, perabot.obat2an dll",5
keren,5
sudah di DM di IG nya nggak ada responnya juga,3
sangat membantu dalam transaksi,5
"Sangat Bagus...,👍👍👍 Bisa Enggak Menghasilkan Uang 💸💸 Transfer Ke DANA, OVO, Shopee Dll Juga Buat Ada Permainan Gamenya.",5
mantap,4
baguss,5
bertransaksi menggunakan shoppeepay sangat mudah dan banyak discont nya.,5
kurang update. aku pernah lupa sandi Shopee. dan aku dpt hadiah top up shopepay dari temen lumayan lah ada 300k. tapi gimana caranya agar uang itu bisa dipake. maaf bngt Shopee ngga ada cadangan sandi bagi yang lupa sandi. ngga update pake sidik jari atau apa gitu.. biar uangnya ngga sia2,1
mantap min,5
good dapat THR dari shoppeepay,5
"mantap banget, sangat membantu",5
pas gua main game iklan menggangukan gua kasih bintang jelek 1,1
pelayanan baik',5
gud bagus,5
sangat memudahkan 👍,5
mantapp banget,5
good,5
"Terbaik aplikasi nya,tdk ada bug dan gk lemot...semoga sukses selalu...aamiin",5
ok bagus,5
kenapa spaylater sy masih dibeku kan,3
ok,5
bagus,5
bagus banget untuk transfer nya lancar terus pokok nya bagus bangetttt,5
sangat membatu,5
oke,5
Aplikasi yang slalu menampilkan promo paylater namun ketika diajukan selalu ditolak.,1
ok mnatap,5
Ok,5
saldo saya berkueang sendiri untuk pembayaran google pkay padahal saya belum mengonfirmasi unruk pembayaran itu,2
Praktis dan Cepat,5
aplikasi bagus kadang error ... UI harus lebih fresh lagi ... yang paling penting utamakan lebih banyak promo promo menarik,5
best,5
aplikasi nya sangat bagus pokok nya aku kasih jempol 5,5
Dengan ShopeePay semua jadi mudah,5
ok,5
bagus,5
sangat memuaskan,5
ok bgt cara cepat segala pembayaran,5
percuma masuk CZ kaga ada penjelasan dan penyelesaiannya. seperti bertanya Sama robot yang jawabannya di ulang ulang,1
